2 - 1000000 - 1,022971
2 - 1000000 - 0,991641
2 - 1000000 - 1,042496
2 - 1000000 - 1,034917
2 - 1000000 - 0,989933
2 - 1000000 - 1,033106
2 - 1000000 - 1,033146
2 - 1000000 - 1,041862
2 - 1000000 - 1,044030
2 - 1000000 - 1,021027
2 - 2000000 - 2,002551
2 - 2000000 - 2,022090
2 - 2000000 - 2,021361
2 - 2000000 - 1,999505
2 - 2000000 - 2,020580
2 - 2000000 - 2,020097
2 - 2000000 - 2,017600
2 - 2000000 - 2,024603
2 - 2000000 - 2,020802
2 - 2000000 - 2,006085
2 - 4000000 - 3,959873
2 - 4000000 - 3,970606
2 - 4000000 - 3,960977
2 - 4000000 - 3,963665
2 - 4000000 - 3,964394
2 - 4000000 - 3,962482
2 - 4000000 - 4,036444
2 - 4000000 - 4,007361
2 - 4000000 - 3,983167
2 - 4000000 - 3,973144
2 - 8000000 - 7,867219
2 - 8000000 - 7,891352
2 - 8000000 - 7,924793
2 - 8000000 - 7,892616
2 - 8000000 - 7,889637
2 - 8000000 - 7,970590
2 - 8000000 - 7,892011
2 - 8000000 - 8,017544
2 - 8000000 - 7,927943
2 - 8000000 - 7,841639
3 - 1000000 - 0,732758
3 - 1000000 - 0,741934
3 - 1000000 - 0,730779
3 - 1000000 - 0,753233
3 - 1000000 - 0,782201
3 - 1000000 - 0,736483
3 - 1000000 - 0,781425
3 - 1000000 - 0,756791
3 - 1000000 - 0,787825
3 - 1000000 - 0,776046
3 - 2000000 - 1,482970
3 - 2000000 - 1,495737
3 - 2000000 - 1,462144
3 - 2000000 - 1,524494
3 - 2000000 - 1,463971
3 - 2000000 - 1,486961
3 - 2000000 - 1,525272
3 - 2000000 - 1,494192
3 - 2000000 - 1,520977
3 - 2000000 - 1,513614
3 - 4000000 - 2,981900
3 - 4000000 - 2,971697
3 - 4000000 - 3,073204
3 - 4000000 - 2,982410
3 - 4000000 - 2,933588
3 - 4000000 - 2,959347
3 - 4000000 - 2,936844
3 - 4000000 - 2,931973
3 - 4000000 - 2,970811
3 - 4000000 - 2,992824
3 - 8000000 - 5,882006
3 - 8000000 - 5,877874
3 - 8000000 - 5,896613
3 - 8000000 - 5,842384
3 - 8000000 - 5,905838
3 - 8000000 - 5,868138
3 - 8000000 - 5,848656
3 - 8000000 - 5,840525
3 - 8000000 - 5,924807
3 - 8000000 - 5,893714
4 - 1000000 - 0,579909
4 - 1000000 - 0,582278
4 - 1000000 - 0,620949
4 - 1000000 - 0,601315
4 - 1000000 - 0,604763
4 - 1000000 - 0,583823
4 - 1000000 - 0,574037
4 - 1000000 - 0,619276
4 - 1000000 - 0,625605
4 - 1000000 - 0,586958
