1 - 40000000 - 2,772651;
1 - 40000000 - 2,781166;
1 - 40000000 - 2,780105;
1 - 80000000 - 5,622691;
1 - 80000000 - 5,568165;
1 - 80000000 - 5,617461;
1 - 160000000 - 11,165536;
1 - 160000000 - 11,259935;
1 - 160000000 - 11,195862;
1 - 320000000 - 22,402030;
1 - 320000000 - 22,267095;
1 - 320000000 - 22,278721;
2 - 40000000 - 1,419358;
2 - 40000000 - 1,468351;
2 - 40000000 - 1,441813;
2 - 80000000 - 3,035802;
2 - 80000000 - 2,831119;
2 - 80000000 - 2,838653;
2 - 160000000 - 5,605514;
2 - 160000000 - 5,616832;
2 - 160000000 - 5,617799;
2 - 320000000 - 11,283793;
2 - 320000000 - 11,758878;
2 - 320000000 - 11,474352;
4 - 40000000 - 0,719636;
4 - 40000000 - 0,721016;
4 - 40000000 - 0,716365;
4 - 80000000 - 1,435050;
4 - 80000000 - 1,427076;
4 - 80000000 - 1,460961;
4 - 160000000 - 2,836363;
4 - 160000000 - 2,866463;
4 - 160000000 - 2,833833;
4 - 320000000 - 5,779461;
4 - 320000000 - 5,721483;
4 - 320000000 - 5,659524;
8 - 40000000 - 0,602454;
8 - 40000000 - 0,556789;
8 - 40000000 - 0,634326;
8 - 80000000 - 0,744242;
8 - 80000000 - 0,757721;
8 - 80000000 - 1,156069;
8 - 160000000 - 2,041513;
8 - 160000000 - 2,279465;
8 - 160000000 - 2,086633;
8 - 320000000 - 3,095658;
8 - 320000000 - 4,206558;
8 - 320000000 - 3,054056;
